100972,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA ALBAHACA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100973,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA ALCACHOFAS,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100974,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA FRUTOS ROJOS,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100976,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA BURGUER,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100977,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA CURRY,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100978,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA ESPALDA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100979,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA FINAS HIERBAS,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100980,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA GAMBAS,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100981,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA MARINERA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100983,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA PIÑA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100984,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA VEGANA BURGUER,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100985,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA VERDE,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100986,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA VINO TINTO,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100987,CARNES,RAMON CAPARROS,TIRA DE ASADO DE TERNERA,10.0,10.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100988,CONSERVAS,MAKRO,CONFITURA ALBARICOQUE 3KG,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100989,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,VERDURA MIXTA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100990,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,VERDURAS CEVICHE,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100991,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,VERDURAS ESCALDADAS,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100992,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,VERDURAS HUMMUS,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100994,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,VINAGRETA PIPARRA,0.0,1.0,L,1.0,1.0,1.0,0.0,1.0,1.0
100995,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,WAKAME,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100996,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,ZAMBURIÑA Y MEJILLONES ARROZ OZ,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100997,FRUTAS Y VERDURAS,ELABORACIÓN PROPIA,SALSA DE SOLOMILLO,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
100998,QUESOS Y EMBUTIDOS,ELABORACIÓN PROPIA,EMBUTIDOS PARA COCA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
101001,CONSERVAS,GMA,KTC COOKING OIL 20L (ACEITE FREIDORA),58.0,58.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
101002,"PAN, BOLLERIA Y DULCES",ELABORACIÓN PROPIA,SALSA CHOCOLATE BLANCO,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
101003,"PAN, BOLLERIA Y DULCES",ELABORACIÓN PROPIA,SALSA INGLESA,0.0,1.0,KG,1.0,1.0,1.0,0.0,1.0,1.0
101015,MENAJE,JUGUETES PEREZ,JARRON CRISTAL CILINDRO 40CM,9.0,9.0,L,1.0,1.0,1.0,0.0,1.0,1.0
101017,MENAJE,JUGUETES PEREZ,JARRON CRISTAL 40CM,9.0,9.0,L,1.0,1.0,1.0,0.0,1.0,1.0
